gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ACTL6A,74.85602,0.14201,-2.78421,1.05096,1.2343,-6.02008,0.94758,-0.19699,1.98371,-0.30804
ACTL6B,-163.18254,-19.96136,-18.2882,-18.2466,2.11216,-9.25533,10.46325,-15.33528,-2.88354,-12.10065
ACTL8,-111.95978,2.08336,-15.62911,-7.53802,-14.05421,-15.61396,-5.04824,1.7578,10.97195,-6.80889
ACTN1,107.3452,2.37617,21.85833,-0.12477,-2.60938,0.87428,0.45974,-1.19155,-0.41501,-0.85743
ACTN2,-120.52989,-34.41114,1.5806,-13.92478,5.68147,6.14068,-9.43559,-2.17097,11.47589,4.80353
ACTN4,128.80702,5.22326,8.24843,2.80027,-4.20391,-1.06033,-0.04645,0.88411,-1.37462,3.32166
ACTR10,50.64539,-0.67804,-0.71117,1.73225,1.84684,-0.75955,0.44328,0.60776,0.48845,-0.51559
ACTR1A,76.33327,-5.89238,1.10928,0.93778,-0.98212,-1.90968,0.93805,-0.86893,-0.88262,-0.97008
ACTR1B,53.66992,-1.91057,-4.73858,1.77577,-0.56253,1.92496,0.94417,0.86992,-1.95465,0.85085
ACTR2,117.04023,-3.42697,-2.80179,4.51846,0.22303,-3.43313,-1.11789,-0.0029,0.47925,2.38376
ACTR3,103.84656,-2.20831,-0.17101,6.05373,-1.74326,-3.40876,-1.0568,0.33458,0.47237,2.95659
ACTR3B,11.48743,-3.24911,-9.61776,-3.92548,-1.99254,0.0731,1.22987,-0.66522,2.06175,-2.61202
ACTR3C,-44.69331,22.20793,-9.12096,-0.65705,-1.95318,-1.7655,-0.98904,-3.41399,-6.76796,4.41171
ACTR5,19.74993,0.48073,-5.93118,0.4623,-0.19448,0.04249,0.51794,-1.67694,-0.03879,-3.88465
ACTR6,36.70051,-0.25251,-5.83795,-0.00032,0.44864,-3.52522,-0.21095,1.18448,0.27381,-2.02192
ACTR8,33.96646,-4.77646,-4.38548,3.83337,-1.58176,0.15398,0.05083,0.16353,-0.9565,-1.47678
ACTRT3,-63.7572,15.92664,4.14904,-1.94771,-0.6558,-4.47116,-7.20507,-13.74743,0.9604,-5.5544
ACVR1,27.18424,0.46638,16.23468,-2.0746,-8.36102,4.1827,1.59472,2.63815,3.40813,-2.44099
ACVR1B,42.94639,1.39626,-4.68526,-10.68034,-0.70899,0.55716,1.31045,-2.69862,0.55636,1.10826
ACVR1C,-70.38148,20.30132,6.31624,0.75666,2.96666,6.08093,5.8927,2.79328,19.71562,0.56938
ACVR2A,2.26156,-0.03457,2.75963,-9.77027,-5.15778,4.15773,4.23342,2.47741,1.13732,0.51336
ACVR2B,22.12492,-6.56744,-9.61611,-11.10179,0.94032,5.89599,1.37868,-4.04185,0.87604,-0.36873
ACVRL1,-118.11715,-14.36449,-4.21019,-5.56951,-15.96166,8.40772,4.96521,-14.99469,-7.98656,8.98691
ACY1,-11.62185,7.53175,-6.98439,1.85669,-6.59755,1.57137,-1.05841,0.6722,1.94794,-4.28151
ACY3,-110.46894,30.72769,-17.64558,20.2575,-11.88109,4.71629,0.88392,-1.65873,-0.1531,5.29411
ACYP1,13.0924,-1.59857,-5.99543,3.51409,0.3451,-1.33702,1.98344,-1.54881,1.70547,-2.92886
ACYP2,-10.31658,0.85342,-4.1435,2.34339,2.67851,3.11263,-1.277,2.1067,-1.2432,-2.44267
ADA,13.10881,-4.21546,-2.92338,9.22503,10.13883,6.42545,-9.40575,-7.36979,1.72585,-0.60971
ADAL,8.04883,-6.63708,-0.22292,1.55003,2.23899,-1.38422,3.46695,3.74048,0.35844,-1.03522
ADAM10,90.90342,2.27383,0.77782,1.78371,-0.05864,-1.82876,0.03937,0.29778,-0.09507,1.8842
ADAM11,-33.53635,-15.87039,-3.14612,-14.53965,3.63602,5.35549,-12.27161,-5.70089,3.40811,-4.59289
ADAM12,-45.68592,-22.96916,60.91831,22.85869,11.20007,-7.55917,20.08827,3.69364,-5.14149,-10.03083
ADAM15,75.64084,7.86026,0.99296,-2.80865,-0.78495,-0.81466,0.93553,4.2994,-1.18402,-2.45588
ADAM17,59.72906,-0.63496,0.81629,-0.59911,2.24048,1.7731,-1.62431,-1.30342,0.4221,-0.11042
ADAM19,9.22167,-13.36485,26.63419,15.09014,2.14558,1.56225,15.12542,-7.29907,-3.16305,2.80681
ADAM22,-4.72875,-19.34431,-13.93115,-11.22558,2.37194,-2.92797,3.02459,-7.12908,7.15247,1.83086
ADAM23,-47.06351,-28.97625,16.79136,-11.0328,18.61279,-9.1903,5.66969,-11.55206,30.73355,1.49679
ADAM28,-79.92812,16.69747,-3.43503,17.08501,4.28369,-4.0533,10.73066,-3.15056,-2.37631,19.92218
ADAM32,-43.28862,2.23475,-1.70476,-0.1065,-0.75057,5.53252,0.17526,-0.35336,-0.26089,-0.87648
ADAM33,-145.27405,-16.20951,16.3026,5.75448,-4.2371,-0.59911,-5.06847,1.0721,-17.52475,2.51759
ADAM8,-11.92153,24.0343,0.45779,9.60155,8.87524,2.3049,4.94946,-10.71206,-4.75406,0.49208
ADAM9,100.64392,6.59879,13.83914,4.24233,-8.11628,-3.2954,-3.14253,-1.25459,-0.20966,1.61361
