,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00548,-0.77009,-6.62042,4.01274,-1.24889,-0.22965,0.63975,1.0847,2.77688,-0.93687,-0.74966
SIDM00684,-1.42475,-2.0365,-1.74519,-3.47951,-1.00589,-0.55476,0.08369,-1.69107,-2.11771,0.08685
SIDM00683,-3.98453,4.48782,5.068,-0.0797,3.35349,5.23581,1.71284,-1.91817,-1.00351,-0.74621
SIDM01220,-0.75072,-2.07177,1.79167,-2.6947,-1.40766,-0.74083,-0.59119,-1.20958,-1.53324,0.62736
SIDM00341,-4.29012,-5.10132,-4.3981,-3.97717,0.39731,-0.02828,1.40012,0.28293,-0.13789,0.49981
SIDM00839,-2.93001,-0.31933,4.15744,5.66775,-1.64948,2.4811,0.66495,1.2391,-1.27526,-0.69719
SIDM00340,-2.5139,-0.5164,3.02575,1.77038,4.04388,-0.39763,1.55606,1.06472,-3.78954,-0.18202
SIDM00681,-4.68215,0.68184,-2.83787,6.65181,-0.55924,-0.80485,-0.14833,-1.77972,-0.3582,0.83919
SIDM00776,-12.19229,17.99815,-3.39301,2.58995,3.10508,1.77892,0.66021,1.80958,-0.90724,-0.03689
SIDM00680,-2.72442,2.23522,5.38489,5.00648,-1.73674,1.89736,2.10277,0.17226,-1.59948,-0.09434
SIDM00660,-4.9358,-0.37484,-0.81845,7.84163,-0.16726,0.44409,-0.31177,0.51485,-0.52814,0.45383
SIDM00677,-3.23168,-1.03368,2.00996,6.58318,-0.84246,1.73708,1.55047,-2.57153,-1.28884,0.18064
SIDM00547,-4.15448,-4.7381,-1.45346,-0.17303,-1.51189,-2.56173,2.9301,2.98533,1.59758,-0.57251
SIDM01219,-0.26514,-3.91322,3.01094,-2.40655,-3.6628,0.59283,1.34786,-1.45156,0.93113,0.44591
SIDM00339,-1.39039,-0.02604,4.63136,-3.00797,-3.17492,-1.41187,0.57685,0.62352,0.61895,2.01378
SIDM01246,0.85493,-1.9281,6.21003,-1.40627,-0.62665,-1.39443,-2.9238,-1.15524,0.55634,-2.30368
SIDM00008,-4.89306,-6.99101,-2.93792,1.84221,2.2664,3.62666,3.56766,3.92489,-1.85093,1.8089
SIDM00148,-0.70621,-1.48293,11.33414,15.68352,5.1338,11.42712,-9.94388,-1.16799,7.67818,1.98563
SIDM00146,-3.69112,-2.25905,-0.9544,3.90983,-2.49424,0.47106,1.45075,1.12702,-0.84697,1.03477
SIDM00528,-5.10307,-3.44433,-7.21884,4.40305,4.49321,0.9369,-4.89031,-1.51249,2.64365,-2.08984
SIDM00630,-4.44523,-2.13496,-4.09275,6.02831,1.32499,-0.82559,-3.62939,-0.85479,0.89483,-0.32092
SIDM00629,-3.70272,-0.32026,-1.7769,4.80265,-1.30538,-0.20855,-2.66006,-1.0731,-0.43753,0.02328
SIDM00272,-6.09696,-0.84386,-5.13357,8.55653,2.67251,1.57942,-3.05912,-0.44049,-1.87439,0.35063
SIDM00628,-2.35165,-1.22834,-0.3224,4.71421,-1.24825,-0.41117,-2.62231,1.44219,-0.03423,-0.72195
SIDM00527,-2.77282,0.16323,0.27933,4.62316,-1.83868,4.32803,0.29619,-5.11971,0.46011,1.53672
SIDM00335,-8.5021,3.75462,-4.64205,-5.00448,5.02574,0.75167,-1.65455,2.11952,0.0032,-1.37185
